NAME,DATE,COUNTRY,ACCURACY,STRAIN,SOURCE,ACCESSION,STUDY ACCESSION,SANGER LANE,PMID,LATITUDE,LONGITUDE
46,2010,Zambia:Lusaka,4,46,Blood,ERR594549,ERP006876,NA,25392358,-15.3875259,28.3228165
31,2010,Zambia:Lusaka,4,31,Blood,ERR594544,ERP006876,NA,25392358,-15.3875259,28.3228165
42,2010,Zambia:Lusaka,4,42,Blood,ERR594548,ERP006876,NA,25392358,-15.3875259,28.3228165
35,2010,Zambia:Lusaka,4,35,Blood,ERR594546,ERP006876,NA,25392358,-15.3875259,28.3228165
34,2010,Zambia:Lusaka,4,34,Blood,ERR594545,ERP006876,NA,25392358,-15.3875259,28.3228165
53,2010,Zambia:Lusaka,4,53,Blood,ERR594551,ERP006876,NA,25392358,-15.3875259,28.3228165
70,2011,Zambia:Lusaka,4,70,Blood,ERR594553,ERP006876,NA,25392358,-15.3875259,28.3228165
71,2011,Zambia:Lusaka,4,71,Blood,ERR594554,ERP006876,NA,25392358,-15.3875259,28.3228165
1341,2012,Zambia:Lusaka,4,1341,Stool,ERR594557,ERP006876,NA,25392358,-15.3875259,28.3228165
12,2010,Zambia:Lusaka,4,12,Blood,ERR594556,ERP006876,NA,25392358,-15.3875259,28.3228165
1012,2010,Zambia:Lusaka,4,1012,Blood,ERR594555,ERP006876,NA,25392358,-15.3875259,28.3228165
225,2012,Zambia:Lusaka,4,225,Blood,ERR594558,ERP006876,NA,25392358,-15.3875259,28.3228165
279,2012,Zambia:Lusaka,4,279,Stool,ERR594560,ERP006876,NA,25392358,-15.3875259,28.3228165
361,2012,Zambia:Lusaka,4,361,Blood,ERR594561,ERP006876,NA,25392358,-15.3875259,28.3228165
6,2011,Zambia:Lusaka,4,6,Blood,ERR594542,ERP006876,NA,25392358,-15.3875259,28.3228165
674,2012,Zambia:Lusaka,4,674,Stool,ERR594562,ERP006876,NA,25392358,-15.3875259,28.3228165
748,2011,Zambia:Lusaka,4,748,Blood,ERR594564,ERP006876,NA,25392358,-15.3875259,28.3228165
739,2012,Zambia:Lusaka,4,739,Stool,ERR594563,ERP006876,NA,25392358,-15.3875259,28.3228165
911,2012,Zambia:Lusaka,4,911,Stool,ERR594565,ERP006876,NA,25392358,-15.3875259,28.3228165
54,2010,Zambia:Lusaka,4,54,Blood,ERR594552,ERP006876,NA,25392358,-15.3875259,28.3228165
36,2010,Zambia:Lusaka,4,36,Blood,ERR594547,ERP006876,NA,25392358,-15.3875259,28.3228165
8,2010,Zambia:Lusaka,4,8,Blood,ERR594543,ERP006876,NA,25392358,-15.3875259,28.3228165
1107-3567,2007,Norway_travel_Philippines,1,1107-3567,Unknown,ERR578473,ERP006639,NA,25428145,60.472024,8.468946
TY5359,2007,Netherlands_travel_Philippines,1,TY5359,Unknown,ERR578472,ERP006639,NA,25428145,52.132633,5.291266
7468_7_50_Tan_Zan_IB5336_2009,2009,Tanzania,1,IB5336,Blood,ERR108649,ERP001718,7468_7#50,25961941,-6.369028,34.888822
7468_7_53_Tan_Zan_IB5339_2009,2009,Tanzania,1,IB5339,Blood,ERR108652,ERP001718,7468_7#53,25961941,-6.369028,34.888822
7468_7_49_Tan_Zan_IB5335_2009,2009,Tanzania,1,IB5335,Blood,ERR108648,ERP001718,7468_7#49,25961941,-6.369028,34.888822
7468_7_54_Tan_Zan_IB5340_2009,2009,Tanzania,1,IB5340,Blood,ERR108653,ERP001718,7468_7#54,25961941,-6.369028,34.888822
7468_7_55_Tan_Zan_IB5341_2009,2009,Tanzania,1,IB5341,Blood,ERR108654,ERP001718,7468_7#55,25961941,-6.369028,34.888822
7468_7_56_Tan_Zan_IB5342_2009,2009,Tanzania,1,IB5342,Blood,ERR108655,ERP001718,7468_7#56,25961941,-6.369028,34.888822
7468_7_61_Tan_Zan_IB5348_2009,2009,Tanzania,1,IB5348,Blood,ERR108660,ERP001718,7468_7#61,25961941,-6.369028,34.888822
7468_7_57_Tan_Zan_IB5343_2009,2009,Tanzania,1,IB5343,Blood,ERR108656,ERP001718,7468_7#57,25961941,-6.369028,34.888822
7468_7_59_Tan_Zan_IB5345_2009,2009,Tanzania,1,IB5345,Blood,ERR108658,ERP001718,7468_7#59,25961941,-6.369028,34.888822
7468_7_60_Tan_Zan_IB5347_2009,2009,Tanzania,1,IB5347,Blood,ERR108659,ERP001718,7468_7#60,25961941,-6.369028,34.888822
7468_7_64_Tan_Zan_IB5351_2010,2010,Tanzania,1,IB5351,Blood,ERR108663,ERP001718,7468_7#64,25961941,-6.369028,34.888822
7468_7_66_Tan_Zan_IB5353_2010,2010,Tanzania,1,IB5353,Blood,ERR108665,ERP001718,7468_7#66,25961941,-6.369028,34.888822
7468_7_65_Tan_Zan_IB5352_2010,2010,Tanzania,1,IB5352,Blood,ERR108664,ERP001718,7468_7#65,25961941,-6.369028,34.888822
7468_7_67_Tan_Zan_IB5354_2010,2010,Tanzania,1,IB5354,Blood,ERR108666,ERP001718,7468_7#67,25961941,-6.369028,34.888822
7468_7_68_Tan_Zan_IB5355_2010,2010,Tanzania,1,IB5355,Blood,ERR108667,ERP001718,7468_7#68,25961941,-6.369028,34.888822
7468_7_70_Tan_Zan_IB5357_2010,2010,Tanzania,1,IB5357,Blood,ERR108669,ERP001718,7468_7#70,25961941,-6.369028,34.888822
7468_7_71_Tan_Zan_IB5358_2010,2010,Tanzania,1,IB5358,Blood,ERR108670,ERP001718,7468_7#71,25961941,-6.369028,34.888822
7468_7_69_Tan_Zan_IB5356_2010,2010,Tanzania,1,IB5356,Blood,ERR108668,ERP001718,7468_7#69,25961941,-6.369028,34.888822
7468_7_73_Tan_Zan_IB5360_2009,2009,Tanzania,1,IB5360,Blood,ERR108672,ERP001718,7468_7#73,25961941,-6.369028,34.888822
7468_7_77_Tan_Zan_IB5366_2009,2009,Tanzania,1,IB5366,Blood,ERR108676,ERP001718,7468_7#77,25961941,-6.369028,34.888822
7468_7_72_Tan_Zan_IB5359_2010,2010,Tanzania,1,IB5359,Blood,ERR108671,ERP001718,7468_7#72,25961941,-6.369028,34.888822
7468_7_78_Tan_Zan_IB5367_2009,2009,Tanzania,1,IB5367,Blood,ERR108677,ERP001718,7468_7#78,25961941,-6.369028,34.888822
7468_7_79_Tan_Zan_IB5368_2009,2009,Tanzania,1,IB5368,Blood,ERR108678,ERP001718,7468_7#79,25961941,-6.369028,34.888822
7468_7_80_Tan_Zan_IB5369_2009,2009,Tanzania,1,IB5369,Blood,ERR108679,ERP001718,7468_7#80,25961941,-6.369028,34.888822
7468_7_82_Tan_Zan_IB5371_2010,2010,Tanzania,1,IB5371,Blood,ERR108681,ERP001718,7468_7#82,25961941,-6.369028,34.888822
7468_7_81_Tan_Zan_IB5370_2010,2010,Tanzania,1,IB5370,Blood,ERR108680,ERP001718,7468_7#81,25961941,-6.369028,34.888822
7468_7_86_Tan_Zan_IB5375_2010,2010,Tanzania,1,IB5375,Blood,ERR108685,ERP001718,7468_7#86,25961941,-6.369028,34.888822
7468_7_85_Tan_Zan_IB5374_2010,2010,Tanzania,1,IB5374,Blood,ERR108684,ERP001718,7468_7#85,25961941,-6.369028,34.888822
7468_7_87_Tan_Zan_IB5376_2010,2010,Tanzania,1,IB5376,Blood,ERR108686,ERP001718,7468_7#87,25961941,-6.369028,34.888822
7468_7_89_Tan_Zan_IB5379_2010,2010,Tanzania,1,IB5379,Blood,ERR108688,ERP001718,7468_7#89,25961941,-6.369028,34.888822
7468_7_90_Tan_Zan_IB5380_2010,2010,Tanzania,1,IB5380,Blood,ERR108689,ERP001718,7468_7#90,25961941,-6.369028,34.888822
7468_7_88_Tan_Zan_IB5378_2010,2010,Tanzania,1,IB5378,Blood,ERR108687,ERP001718,7468_7#88,25961941,-6.369028,34.888822
7468_7_91_Tan_Zan_IB5381_2010,2010,Tanzania,1,IB5381,Blood,ERR108690,ERP001718,7468_7#91,25961941,-6.369028,34.888822
7468_7_92_Tan_Zan_IB5382_2010,2010,Tanzania,1,IB5382,Blood,ERR108691,ERP001718,7468_7#92,25961941,-6.369028,34.888822
7468_7_93_Tan_Zan_IB5383_2009,2009,Tanzania,1,IB5383,Blood,ERR108692,ERP001718,7468_7#93,25961941,-6.369028,34.888822
7468_7_94_Tan_Zan_IB5384_2009,2009,Tanzania,1,IB5384,Blood,ERR108693,ERP001718,7468_7#94,25961941,-6.369028,34.888822
7468_7_95_Tan_Zan_IB5385_2010,2010,Tanzania,1,IB5385,Blood,ERR108694,ERP001718,7468_7#95,25961941,-6.369028,34.888822
8447_8_2_FijMDUST74_2008,2008,Fiji,1,MDUST74,Unknown,ERR204245,ERP001718,8447_8#2,25961941,-17.713371,178.065032
8447_8_3_FijMDUST75_2008,2008,Fiji,1,MDUST75,Unknown,ERR204246,ERP001718,8447_8#3,25961941,-17.713371,178.065032
