NAME,Ampicillin,Broad-Spectrum Cephalosporins,Chloramphenicol,Ciprofloxacin,Sulfonamides,Trimethoprim,Co-Trimoxazole,Tetracycline,Azithromycin,Colistin,Meropenem
6,1,0,0,0,1,1,1,0,0,0,0
8,1,0,1,0,1,1,1,0,0,0,0
31,1,0,1,0,1,1,1,0,0,0,0
34,1,0,1,0,1,1,1,0,0,0,0
35,1,0,0,0,1,1,1,0,0,0,0
36,1,0,1,0,1,1,1,0,0,0,0
42,1,0,1,0,1,1,1,0,0,0,0
46,1,0,1,0,1,1,1,0,0,0,0
53,1,0,1,0,1,1,1,0,0,0,0
54,1,0,1,0,1,1,1,0,0,0,0
70,1,0,1,0,1,1,1,0,0,0,0
71,1,0,1,0,1,1,1,0,0,0,0
225,1,0,1,0,1,1,1,0,0,0,0
279,1,0,1,0,1,1,1,0,0,0,0
361,1,0,1,0,1,1,1,0,0,0,0
674,1,0,1,0,1,1,1,0,0,0,0
739,1,0,0,0,1,1,1,0,0,0,0
748,1,0,1,1,1,1,1,0,0,0,0
911,1,0,1,0,1,1,1,0,0,0,0
1012,1,0,1,0,1,1,1,0,0,0,0
1341,1,0,0,0,1,1,1,0,0,0,0
3158,1,0,1,1,1,1,1,0,1,0,0
4305,1,0,1,1,1,1,1,0,1,0,0
4946,1,0,1,1,1,1,1,0,1,0,0
5330,1,0,1,1,1,1,1,0,1,0,0
5340,0,0,0,1,0,0,0,0,0,0,0
5740,1,0,1,1,1,1,1,0,1,0,0
5861,1,0,1,1,1,1,1,0,0,0,0
5887,0,0,0,1,0,0,0,0,0,0,0
5902,0,0,0,1,0,0,0,0,0,0,0
5932,0,0,0,1,0,0,0,0,0,0,0
5933,0,0,0,1,0,0,0,0,0,0,0
6149,1,0,1,1,1,1,1,0,1,0,0
7246,1,0,1,1,1,1,1,0,1,0,0
7433,0,0,0,1,0,0,0,0,0,0,0
7435,0,0,0,1,0,0,0,0,0,0,0
9141,0,0,0,0,0,0,0,0,0,0,0
9193,0,0,0,0,0,0,0,0,0,0,0
9242,0,0,0,1,0,0,0,0,0,0,0
9468,0,0,0,1,0,0,0,0,0,0,0
9469,0,0,0,1,0,0,0,0,0,0,0
10873,1,0,1,1,1,1,1,0,1,0,0
11780,1,0,1,1,1,1,1,0,1,0,0
11783,1,0,1,1,1,1,1,0,1,0,0
13864,1,0,1,1,1,1,1,0,0,0,0
14546,0,0,0,1,0,0,0,0,0,0,0
14547,0,0,0,0,0,0,0,0,0,0,0
14548,0,0,0,1,0,0,0,0,0,0,0
14549,1,0,1,1,1,1,1,0,0,0,0
15250,0,0,0,1,0,0,0,0,0,0,0
15251,0,0,0,1,0,0,0,0,0,0,0
15252,0,0,0,0,0,0,0,0,0,0,0
15253,1,0,1,1,1,1,1,0,0,0,0
15604,1,0,1,1,1,1,1,0,1,0,0
