NAME,REFERENCE,MLST ST (EnteroBase),MLST PROFILE (EnteroBase),GENOTYPHI GENOTYPE,GENOTYPHI SNPs CALLED,Inc Types
46,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
31,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,Col440I
42,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
35,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,84,Col(pHAD28)--Col(pHAD28)--Col440II--Col440II; IncFIB(K)
34,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
53,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
70,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
71,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
1341,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
12,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
1012,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
225,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
279,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
361,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
6,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
674,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
748,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
739,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
911,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
54,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,83,
36,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
8,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
1107-3567,H12ESR00755-001A,1,1_1_1_1_1_1_5,3,82,IncHI2--IncHI2A
TY5359,H12ESR00755-001A,1,1_1_1_1_1_1_5,3,81,IncHI2--IncHI2A
7468_7_50_Tan_Zan_IB5336_2009,E98-0664_66,2,1_1_2_1_1_1_5,2.5,82,
7468_7_53_Tan_Zan_IB5339_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_49_Tan_Zan_IB5335_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
7468_7_54_Tan_Zan_IB5340_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_55_Tan_Zan_IB5341_2009,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,IncHI1A--IncHI1B(R27)
7468_7_56_Tan_Zan_IB5342_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_61_Tan_Zan_IB5348_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
7468_7_57_Tan_Zan_IB5343_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
7468_7_59_Tan_Zan_IB5345_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIA(HI1); IncFIB(K); IncHI1A; IncHI1B(R27)
7468_7_60_Tan_Zan_IB5347_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
7468_7_64_Tan_Zan_IB5351_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_66_Tan_Zan_IB5353_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_65_Tan_Zan_IB5352_2010,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
7468_7_67_Tan_Zan_IB5354_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_68_Tan_Zan_IB5355_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_70_Tan_Zan_IB5357_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_71_Tan_Zan_IB5358_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_69_Tan_Zan_IB5356_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_73_Tan_Zan_IB5360_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_77_Tan_Zan_IB5366_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
7468_7_72_Tan_Zan_IB5359_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_78_Tan_Zan_IB5367_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_79_Tan_Zan_IB5368_2009,E98-0664_66,2,1_1_2_1_1_1_5,2.5.1,82,IncFIA(HI1); IncHI1A; IncHI1B(R27)
7468_7_80_Tan_Zan_IB5369_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
7468_7_82_Tan_Zan_IB5371_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_81_Tan_Zan_IB5370_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_86_Tan_Zan_IB5375_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,IncHI1A--IncHI1B(R27)
7468_7_85_Tan_Zan_IB5374_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_87_Tan_Zan_IB5376_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,IncHI1A--IncHI1B(R27)
7468_7_89_Tan_Zan_IB5379_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_90_Tan_Zan_IB5380_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_88_Tan_Zan_IB5378_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_91_Tan_Zan_IB5381_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_92_Tan_Zan_IB5382_2010,7898,1,1_1_1_1_1_1_5,4.3.1.2,82,
7468_7_93_Tan_Zan_IB5383_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,82,
7468_7_94_Tan_Zan_IB5384_2009,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIA(HI1); IncFIB(K); IncHI1A--IncHI1B(R27)
7468_7_95_Tan_Zan_IB5385_2010,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
8447_8_2_FijMDUST74_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_3_FijMDUST75_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_5_FijMDUST77_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_4_FijMDUST76_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_7_FijMDUST79_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_6_FijMDUST78_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_1_FijMDUST73_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,81,
8447_8_11_FijMDUST83_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_8_FijMDUST80_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_9_FijMDUST81_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_10_FijMDUST82_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_12_FijMDUST84_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_15_FijMDUST87_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_14_FijMDUST86_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_13_FijMDUST85_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_16_FijMDUST88_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_17_FijMDUST89_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_18_FijMDUST90_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_20_FijMDUST92_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_22_FijMDUST94_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_19_FijMDUST91_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_21_FijMDUST93_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_23_FijMDUST95_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_24_FijMDUST96_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_26_FijMDUST98_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_28_FijMDUST100_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_27_FijMDUST99_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8447_8_30_FijMDUST102_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_32_FijMDUST104_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_29_FijMDUST101_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_1_FijMDUST1_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_31_FijMDUST103_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_3_FijMDUST3_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8447_8_33_FijMDUST105_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_2_FijMDUST2_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_5_FijMDUST5_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_4_FijMDUST4_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_6_FijMDUST6_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_7_FijMDUST7_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_10_FijMDUST10_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_8_FijMDUST8_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_9_FijMDUST9_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_13_FijMDUST13_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_12_FijMDUST12_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_11_FijMDUST11_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_14_FijMDUST14_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_16_FijMDUST16_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_15_FijMDUST15_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_5_18_FijMDUST18_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_17_FijMDUST17_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_19_FijMDUST19_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_21_FijMDUST21_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_22_FijMDUST22_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_25_FijMDUST25_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_24_FijMDUST24_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_23_FijMDUST23_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_20_FijMDUST20_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_26_FijMDUST26_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_27_FijMDUST27_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_30_FijMDUST30_2009,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_31_FijMDUST31_2000,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_5_28_FijMDUST28_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_33_FijMDUST33_1997,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_5_29_FijMDUST29_2011,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_5_32_FijMDUST32_2000,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_5_34_FijMDUST34_1997,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_5_35_FijMDUST35_1996,ERL072973,1,1_1_1_1_1_1_5,4.2,82,
8490_5_36_FijMDUST36_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_37_FijMDUST37_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_38_FijMDUST38_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_39_FijMDUST39_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_40_FijMDUST40_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_44_FijMDUST44_1996,H12ESR00394-001A,1,1_1_1_1_1_1_5,3.5,82,
8490_6_42_FijMDUST42_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_43_FijMDUST43_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_41_FijMDUST41_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_45_FijMDUST45_1996,E00-7866,3677,1_1_2_1_1_665_5,0.1,82,
8490_6_48_FijMDUST48_1996,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_49_FijMDUST49_1996,ERL072973,1,1_1_1_1_1_1_5,4.2,82,
8490_6_46_FijMDUST46_1996,ERL041834,2,1_1_2_1_1_1_5,2,82,
8490_6_50_FijMDUST50_1996,ERL072973,1,1_1_1_1_1_1_5,4.2,82,
8490_6_47_FijMDUST47_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_51_FijMDUST51_1995,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_52_FijMDUST52_1995,ERL072973,1,1_1_1_1_1_1_5,4.2,82,
8490_6_55_FijMDUST55_1995,7898,1,1_1_1_1_1_1_5,4.3.1.1,82,
8490_6_53_FijMDUST53_1995,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_54_FijMDUST54_1995,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_56_FijMDUST56_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_59_FijMDUST59_1994,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_58_FijMDUST58_1994,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_57_FijMDUST57_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_61_FijMDUST61_1994,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_60_FijMDUST60_1994,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_62_FijMDUST62_1994,ERL072973,1,1_1_1_1_1_1_5,4.2.1,82,
8490_6_63_FijMDUST63_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_64_FijMDUST64_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_65_FijMDUST65_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_66_FijMDUST66_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_67_FijMDUST67_1994,7898,1,1_1_1_1_1_1_5,4.3.1.1,82,
8490_6_68_FijMDUST68_1994,ST1921-06,2,1_1_2_1_1_1_5,2.3.5,82,
8490_6_71_FijMDUST71_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_6_69_FijMDUST69_1996,ERL072973,1,1_1_1_1_1_1_5,4.2.3,82,
8490_6_70_FijMDUST70_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8490_6_72_FijMDUST72_2008,ERL072973,1,1_1_1_1_1_1_5,4.2.2,82,
8525_3_30_KenKe451_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_31_KenKe452_2008,7898,1,1_1_1_1_1_1_5,4.3.1.2.EA2,82,IncHI1A--IncHI1B(R27)
8525_2_54_KenKe378_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_32_KenKe45_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_34_KenKe455_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_41_KenKe462_2008,E98-0664_66,2,1_1_2_1_1_1_5,2.5,82,
8525_3_40_KenKe461_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
8525_3_37_KenKe458_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_33_KenKe454_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_42_KenKe463_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_45_KenKe466_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_46_KenKe467_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_51_KenKe472_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_47_KenKe468_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_49_KenKe470_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_53_KenKe474_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,
8525_3_48_KenKe469_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,83,IncHI1A--IncHI1B(R27)
8525_3_54_KenKe475_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_55_KenKe476_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
8525_3_59_KenKe480_2008,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncHI1A--IncHI1B(R27)
