NAME,REFERENCE,MLST ST (EnteroBase),MLST PROFILE (EnteroBase),GENOTYPHI GENOTYPE,GENOTYPHI SNPs CALLED,Inc Types
46,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
31,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,Col440I
42,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
35,007898,1,1_1_1_1_1_1_5,4.3.1.1,77,Col440II/Col440II; IncFIB(K)
34,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
53,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
70,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
71,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
1341,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIB(K)
12,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
1012,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
225,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
279,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
361,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
6,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIB(K)
674,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
748,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
739,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIB(K)
911,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
54,007898,1,1_1_1_1_1_1_5,4.3.1.1,76,
36,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
8,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
1107-3567,H12ESR00755-001A,1,1_1_1_1_1_1_5,3,75,IncHI2/IncHI2A
TY5359,H12ESR00755-001A,1,1_1_1_1_1_1_5,3,74,IncHI2/IncHI2A
7468_7_50_Tan_Zan_IB5336_2009,E98-0664_66,2,1_1_2_1_1_1_5,2.5,75,
7468_7_53_Tan_Zan_IB5339_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,75,
7468_7_49_Tan_Zan_IB5335_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIB(K)
7468_7_54_Tan_Zan_IB5340_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,75,
7468_7_55_Tan_Zan_IB5341_2009,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,IncHI1A/IncHI1B(R27)
7468_7_56_Tan_Zan_IB5342_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,75,
7468_7_61_Tan_Zan_IB5348_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
7468_7_57_Tan_Zan_IB5343_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
7468_7_59_Tan_Zan_IB5345_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIA(HI1); IncFIB(K); IncHI1A; IncHI1B(R27)
7468_7_60_Tan_Zan_IB5347_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
7468_7_64_Tan_Zan_IB5351_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_66_Tan_Zan_IB5353_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_65_Tan_Zan_IB5352_2010,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,IncFIB(K)
7468_7_67_Tan_Zan_IB5354_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_68_Tan_Zan_IB5355_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_70_Tan_Zan_IB5357_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_71_Tan_Zan_IB5358_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_69_Tan_Zan_IB5356_2010,007898,1,1_1_1_1_1_1_5,4.3.1.2,75,
7468_7_73_Tan_Zan_IB5360_2009,ERL041834,2,1_1_2_1_1_1_5,3.3.1,75,
7468_7_77_Tan_Zan_IB5366_2009,007898,1,1_1_1_1_1_1_5,4.3.1.1,75,
7468_7_72_Tan_Zan_IB5359_2010,ERL041834,2,1_1_2_1_1_1_5,3.3.1,75,
