NAME,CORE MATCHES,% CORE FAMILIES,% NON-CORE,GENOME LENGTH,N50,NO. CONTIGS,NON-ATCG,% GC CONTENT
46,3276,99.8,24.5,4749344,206071,51,3974,52.0
31,3283,100,25.3,4814170,204858,59,241,52.0
42,3284,100,25.0,4794683,172279,58,527,52.0
35,3393,100,26.0,5012926,206746,102,465,52.0
34,3284,100,25.4,4815185,206855,56,89,52.0
53,3283,100,25.3,4810563,204405,49,273,52.0
70,3284,100,25.1,4796494,207520,52,195,52.0
71,3284,100,25.0,4794357,207350,49,2,52.1
1341,3282,99.9,25.9,4847925,172210,138,697,52.0
12,3281,99.9,25.3,4803834,204467,140,2162,52.0
1012,3283,99.9,25.1,4793658,172432,113,570,52.1
225,3283,100,28.1,4995905,185817,633,1200,51.7
279,3285,100,26.0,4857257,161318,267,3192,52.0
361,3283,99.9,25.4,4813816,172186,147,4691,52.1
6,3280,99.9,26.1,4853429,161322,142,2469,52.0
674,3284,100,25.8,4843190,206679,219,479,52.1
748,3282,99.9,26.6,4890800,172256,358,1517,52.0
739,3286,100,26.0,4854975,185463,174,1851,52.1
911,3204,97.6,28.5,4779505,36650,257,3043,52.0
54,3273,99.7,25.5,4803784,161318,143,2725,52.0
36,3273,99.7,25.6,4810601,161322,150,2825,52.0
8,3269,99.5,25.8,4810550,172562,143,3917,52.0
1107-3567,3275,99.7,31.3,5211763,172673,533,6331,51.4
TY5359,3243,98.7,28.1,4922871,153856,158,4265,51.8
7468_7_50_Tan_Zan_IB5336_2009,3284,100,23.2,4679151,204310,46,57,52.1
7468_7_53_Tan_Zan_IB5339_2009,3274,99.7,24.3,4737205,156909,57,3546,52.1
7468_7_49_Tan_Zan_IB5335_2009,3285,100,24.9,4788530,204312,49,111,52.1
7468_7_54_Tan_Zan_IB5340_2009,3255,99.1,24.9,4738999,149362,77,9423,52.1
7468_7_55_Tan_Zan_IB5341_2009,3283,100,27.1,4930930,161299,69,472,51.8
7468_7_56_Tan_Zan_IB5342_2009,3253,99.1,24.9,4729655,108692,118,557,52.1
